LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_thou,men_thou,women_thou,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
נורדייה,447,1948,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",320,מושב שיתופי,18,מועצה אזורית לב השרון,1.9,0.9,0.9,1,יהודים,99.5,22.7,56.8,20.5,27.8,56.6,15.6,17.5,57,25.5,890.6,39,31,45,52.3,47.7,54.4,45.6,50.4,49.6,74.3,25.7,57.7,30.2,9.9,2.2,40.5,8.9,11.5,36.3,2.8,501
נחלים,449,1948,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,25,מועצה אזורית חבל מודיעין,1.3,0.7,0.6,1,יהודים,98,43.9,48.9,7.2,50.6,43.3,6.1,35.2,56.2,8.7,1239.1,21,17,24,55.5,44.5,48.2,51.8,65.2,34.8,86.7,13.3,43.2,24.5,23,9.2,58,4.7,6.4,26.5,4.4,501
ניין,523,,2,מחוז הצפון,23,נפת יזרעאל,233,רמת כוכב,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,66,מועצה אזורית בוסתן אל-מרג',1.6,0.8,0.8,2,מוסלמים,99.8,43.4,51.8,4.7,43.9,51.9,4.2,43,51.8,5.2,1054.8,22,21,22,56,44,55.9,44.1,56.1,43.9,,,,,,,,,,,,501
"ניל""י",3655,1981,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,73,מועצה אזורית מטה בנימין,0.9,0.4,0.4,1,יהודים,98.6,39.3,58.7,2,39.2,58.6,2.2,39.4,58.8,1.8,843.8,24,24,25,60.9,39.1,57.8,42.2,64.4,35.6,86.4,13.6,18.2,54.7,24.6,2.5,50.4,7.8,12.6,23.8,5.4,501
ניצן,351,1949,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,36,מועצה אזורית חוף אשקלון,0.5,0.3,0.3,1,יהודים,100,58.5,40.7,0.8,54.4,44.8,0.8,62.2,37,0.7,1623.1,13,14,12,75,25,74,26,76.1,23.9,91.8,8.2,16.7,34.4,41.5,7.5,56.8,10.9,13.4,13.3,5.6,501
ניצן ב',1419,2007,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,36,מועצה אזורית חוף אשקלון,2,1,1,1,יהודים,99.6,36.6,62,1.4,36.8,61.8,1.4,36.4,62.2,1.4,731.3,23,23,23,60.5,39.5,61.4,38.6,59.7,40.3,83.6,16.4,12.6,42.7,34.5,10.2,42.3,17.1,28.2,10.2,2.2,501
ניצני עוז,851,1951,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,18,מועצה אזורית לב השרון,0.9,0.4,0.5,1,יהודים,99.7,40.6,52.2,7.2,40.3,53.5,6.2,40.9,51.1,8.1,993.9,25,26,23,55.8,44.2,57.8,42.2,53.9,46.1,88.3,11.7,62.4,22.2,12.1,3.3,55.9,9.8,22.1,10,2.3,501
ניר בנים,553,1954,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,0.6,0.3,0.3,1,יהודים,99.5,38.3,46.6,15.1,41.1,44.9,14,35.3,48.5,16.2,1298.4,34,26,36,65.3,34.7,65.1,34.9,65.5,34.5,89.9,10.1,39.5,34.6,15.2,10.8,58.5,4.7,6.6,25.1,5.2,501
ניר גלים,720,1949,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",320,מושב שיתופי,29,מועצה אזורית חבל יבנה,0.8,0.5,0.4,1,יהודים,95.5,49.8,40.2,10.1,58.1,33.9,8,38.3,48.8,12.9,1684.9,18,16,23,55,45,46.1,53.9,67.6,32.4,83.9,16.1,61.7,16.2,20.3,1.7,49.4,3.9,18.9,24.5,3.3,501
ניר דוד (תל עמל),256,1936,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,330,קיבוץ,7,מועצה אזורית עמק המעיינות,0.6,0.3,0.3,1,יהודים,97.5,22.9,60.7,16.4,25.7,58.4,15.9,20.3,62.9,16.8,688.1,38,36,39,47.8,52.2,50.7,49.3,45.2,54.8,79.6,20.4,58,15.4,15,11.7,44.8,2.4,2.7,40.2,9.9,501
ניר יפה,165,1956,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,0.5,0.3,0.3,1,יהודים,99.6,35.1,56.8,8.1,34.3,58.4,7.3,36,55.1,8.9,811.3,30,31,30,68.3,31.7,64.7,35.3,72.2,27.8,80.1,19.9,76.9,14.5,7.4,1.2,41.5,5.2,44.9,5.3,3.1,501
ניר יצחק,402,1949,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,0.6,0.3,0.3,1,יהודים,98,15.1,70.9,14,17,70.2,12.8,13.1,71.7,15.1,493.7,42,40,42,50.6,49.4,51.3,48.7,49.8,50.2,66,34,35.5,44.1,20.4,,30.2,4,4.5,21.6,39.6,501
ניר ישראל,699,1949,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,310,מושב,36,מועצה אזורית חוף אשקלון,0.8,0.4,0.4,1,יהודים,98,33.3,58.4,8.3,33.2,59.8,7,33.5,57,9.5,771.8,33,33,33,68.9,31.1,70.1,29.9,67.8,32.2,84.5,15.5,74.3,20.9,2.9,1.9,47.7,7.7,11.5,29.6,3.5,501
