LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_thou,men_thou,women_thou,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
גן שורק,311,1950,4,מחוז המרכז,44,נפת רחובות,442,אזור ראשון לציון,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,27,מועצה אזורית גן רווה,0.6,0.3,0.3,1,יהודים,100,34.6,58,7.4,35.5,56.7,7.8,33.6,59.3,7,881.8,29,28,30,57.1,42.9,54,46,60.6,39.4,85.3,14.7,62.1,14,22,1.9,52.6,7.1,7.5,31,1.7,501
גן שמואל,72,1913,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,330,קיבוץ,14,מועצה אזורית מנשה,0.8,0.4,0.4,1,יהודים,98.4,23.2,59.2,17.6,22.9,60.3,16.9,23.5,58.2,18.3,790.7,38,35,40,51.1,48.9,51.7,48.3,50.6,49.4,79.8,20.2,55.3,35.9,7.1,1.8,41.3,4.1,4.3,36.7,13.7,501
גנות,836,1953,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",310,מושב,40,מועצה אזורית עמק לוד,0.6,0.3,0.3,1,יהודים,98.9,27.5,62.9,9.6,28.5,63.6,7.9,26.5,62.3,11.2,639.5,32,31,33,60.4,39.6,60.9,39.1,59.9,40.1,86.7,13.3,58.6,33.2,8.2,,52.2,14.5,13,18.1,2.2,501
גנות הדר,549,1964,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",350,יישוב כפרי אחר יהודי,18,מועצה אזורית לב השרון,0.7,0.4,0.4,1,יהודים,99.5,35.6,62.1,2.3,37.5,60,2.5,33.6,64.4,2.1,695,26,26,27,59.3,40.7,58.7,41.3,59.9,40.1,88.5,11.5,36.5,36.1,18.5,8.9,52.4,8.3,14.5,21.1,3.7,501
גני יוחנן,862,1950,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,30,מועצה אזורית גזר,0.5,0.3,0.3,1,יהודים,99.7,28.4,64.4,7.2,30.4,63.1,6.5,26.5,65.7,7.8,610,32,32,30,56.8,43.2,58.9,41.1,54.9,45.1,84.7,15.3,75.2,9.7,14.1,1,48.6,10.1,13.9,24.2,3.2,501
געש,842,1951,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",330,קיבוץ,19,מועצה אזורית חוף השרון,0.6,0.3,0.3,1,יהודים,97.4,23.6,59.6,16.8,23,62.4,14.6,24.1,57.1,18.8,768.5,36,33,39,50.5,49.5,53.1,46.9,48.2,51.8,70.5,29.5,41.7,51.1,6.1,1.1,32.8,4,3.5,21.5,38.2,501
גשר הזיו,574,1949,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,,ללא שיוך למטרופולין,330,קיבוץ,4,מועצה אזורית מטה אשר,1.3,0.6,0.6,1,יהודים,98.3,38.5,54.8,6.7,37.9,55.8,6.3,39,53.9,7.1,892.5,33,34,32,57.9,42.1,57.5,42.5,58.3,41.7,81.1,18.9,27.1,48,22.4,2.6,45.9,8.1,14.2,22.1,9.7,501
גת (קיבוץ),340,1941,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,330,קיבוץ,35,מועצה אזורית יואב,0.5,0.2,0.3,1,יהודים,95,25.9,59.4,14.7,27.4,59.5,13,24.5,59.2,16.2,742,33,32,34,52.2,47.8,55.9,44.1,49,51,78.6,21.4,42.2,28.5,23.8,5.5,47.4,1.5,12,27.6,11.4,501
דגניה א',62,1909,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,0.5,0.3,0.2,1,יהודים,97.8,25.1,57.8,17.2,28.1,56.2,15.8,21.9,59.5,18.6,842.5,38,33,41,52.3,47.7,52,48,52.6,47.4,78.4,21.6,45.5,32.6,16.1,5.7,41.2,7.3,6.8,33.7,11,501
דולב,3747,1983,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,73,מועצה אזורית מטה בנימין,1.1,0.5,0.6,1,יהודים,99.6,54.5,44.8,0.7,51.9,47.5,0.6,56.7,42.6,0.8,1553.1,16,14,16,63,37,74.9,25.1,54.4,45.6,90.9,9.1,2.8,44.6,36.8,15.8,62.5,4.3,10.1,14.7,8.4,501
דורות,336,1941,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,37,מועצה אזורית שער הנגב,0.6,0.3,0.3,1,יהודים,98.1,12,72.1,15.9,11.1,73.3,15.6,12.8,70.9,16.3,435.1,29,28,30,35.1,64.9,35,65,35.2,64.8,82.6,17.4,69.3,19.5,11.2,,48.7,4.7,8.6,33.3,4.6,501
דחי,475,,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,66,מועצה אזורית בוסתן אל-מרג',0.6,0.3,0.3,2,מוסלמים,99.6,42.3,52.8,4.9,45.3,50.2,4.5,39.1,55.5,5.4,1034.6,24,21,27,54.5,45.5,57.3,42.7,52,48,,,,,,,,,,,,501
דלייה,300,1939,2,מחוז הצפון,23,נפת יזרעאל,236,רמת מנשה,,ללא שיוך למטרופולין,330,קיבוץ,13,מועצה אזורית מגידו,0.7,0.3,0.4,1,יהודים,93.9,20,60.9,19.1,17.6,63.3,19.1,22.2,58.7,19,714.3,37,36,38,48.6,51.4,49.8,50.2,47.4,52.6,80.3,19.7,69.5,18.9,9.6,2,41.7,5.5,4,41.8,7.1,501
דלתון,431,1950,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,0.8,0.4,0.4,1,יהודים,100,40.1,52.3,7.6,40.1,54.1,5.8,40.2,50.4,9.4,1067.3,24,25,23,61.7,38.3,60.2,39.8,63.2,36.8,89.7,10.3,93.1,3.4,3.4,,53.4,1.2,43.6,1.7,0.1,501
דן,303,1939,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,0.5,0.3,0.3,1,יהודים,96.3,11.2,72,16.8,10.7,71.1,18.2,11.7,72.9,15.3,432,33,33,33,45.9,54.1,44.7,55.3,47.2,52.8,81.9,18.1,67.9,15.5,11.7,4.8,43.9,6.3,7.1,38.4,4.3,501
דפנה,302,1939,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,0.8,0.4,0.4,1,יהודים,97.7,16.9,72.6,10.5,19.4,70.7,9.9,14.3,74.5,11.2,409.9,31,30,33,44.3,55.7,44.9,55.1,43.8,56.2,87.8,12.2,46.9,37.6,8.9,6.6,52.1,6,4.7,28.3,8.9,501
הגושרים,356,1948,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,0.6,0.3,0.3,1,יהודים,94.6,20.5,65.2,14.3,20.9,66.5,12.6,20.1,64.1,15.8,586.9,35,33,35,52.5,47.5,54.6,45.4,50.6,49.4,82.4,17.6,52,24,14,10,45.3,13.5,8.5,29.3,3.4,501
הושעיה,1186,1981,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,370,יישוב קהילתי,9,מועצה אזורית עמק יזרעאל,1.6,0.8,0.8,1,יהודים,100,46.2,52.9,0.9,45.5,53.6,0.9,46.8,52.3,0.9,1038.2,19,20,19,68.1,31.9,69.3,30.7,66.9,33.1,91,9,14.9,59.5,20,5.6,59,4.9,8.4,18.1,9.6,501
הזורע,250,1936,2,מחוז הצפון,23,נפת יזרעאל,235,אזור יקנעם,242,"מטרופולין חיפה, טבעת חיצונית, גזרה מזרחית",330,קיבוץ,13,מועצה אזורית מגידו,0.9,0.4,0.4,1,יהודים,96.3,22.6,63.4,14,21.9,65.1,13,23.4,61.7,14.9,647.7,28,27,29,37.9,62.1,38.5,61.5,37.3,62.7,79.4,20.6,47.2,22.8,12.1,18,46.2,5.6,4.5,32.7,11.1,501
הזורעים,307,1939,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,3,מועצה אזורית הגליל התחתון,0.7,0.4,0.3,1,יהודים,99.8,50.8,43.3,5.9,58.2,37.3,4.5,40.6,51.5,7.9,1457.7,17,16,23,50.5,49.5,43.3,56.7,61,39,86.7,13.3,59.4,17.1,13.2,10.3,56.1,4,16.9,16,7,501
החותרים,434,1948,3,מחוז חיפה,32,נפת חדרה,321,חוף הכרמל,223,"מטרופולין חיפה, טבעת פנימית, גזרה דרומית",330,קיבוץ,15,מועצה אזורית חוף הכרמל,0.6,0.3,0.3,1,יהודים,95.5,22.3,66.2,11.5,24,67.1,8.9,20.4,65.2,14.4,567.8,33,31,35,49,51,47.9,52.1,50.2,49.8,77,23,37.2,46.2,14,2.6,41.5,3.5,6.9,27.6,20.4,501
היוגב,684,1949,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,9,מועצה אזורית עמק יזרעאל,0.5,0.3,0.3,1,יהודים,99.6,21.2,65.8,13,20.7,68.6,10.8,21.7,63,15.3,575.6,32,31,33,53.1,46.9,52.2,47.8,54,46,86.3,13.7,77.1,16,5.3,1.6,55.8,4.3,6.4,31.9,1.6,501
הילה,1208,1980,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,52,מועצה אזורית מעלה יוסף,0.5,0.3,0.3,1,יהודים,96.7,38.6,59.4,2,38.4,59.6,2,38.8,59.2,2,775.8,24,24,25,57.1,42.9,58.3,41.7,56,44,89.5,10.5,29.8,47,19.8,3.4,54.9,3.8,10.1,22.9,8.2,501
הסוללים,677,1949,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,242,"מטרופולין חיפה, טבעת חיצונית, גזרה מזרחית",330,קיבוץ,9,מועצה אזורית עמק יזרעאל,0.8,0.4,0.4,1,יהודים,98.5,36,58.7,5.3,35.6,58.7,5.7,36.5,58.7,4.8,780,32,30,32,57.9,42.1,56,44,59.9,40.1,85.8,14.2,29.3,50.7,16.2,3.7,48.4,6.8,10.6,29.6,4.6,501
העוגן,423,1947,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",330,קיבוץ,16,מועצה אזורית עמק חפר,0.7,0.4,0.4,1,יהודים,98,13.4,68.8,17.9,15.1,67.8,17.1,11.6,69.8,18.6,508.4,36,34,37,45,55,46.1,53.9,43.9,56.1,75,25,63.1,21.8,13.9,1.2,40.2,6,4.5,39.7,9.6,501
הר גילה,3603,1972,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,76,מועצה אזורית גוש עציון,0.5,0.3,0.3,1,יהודים,96.9,35.4,62.4,2.2,36.4,61.4,2.3,34.4,63.4,2.2,674.3,26,25,28,56.6,43.4,57.9,42.1,55.3,44.7,90.6,9.4,34.9,33.8,29.2,2.1,56.6,10.3,16.9,13.5,2.7,501
הרדוף,1249,1982,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,242,"מטרופולין חיפה, טבעת חיצונית, גזרה מזרחית",330,קיבוץ,9,מועצה אזורית עמק יזרעאל,1,0.5,0.5,1,יהודים,94.1,44.9,54.8,0.3,46.7,53,0.3,43.2,56.5,0.3,958.5,20,19,22,38.7,61.3,39,61,38.4,61.6,90.8,9.2,7.7,25.4,45.1,21.8,63.7,3.2,4.3,24.2,4.8,501
זיתן,788,1950,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",310,מושב,40,מועצה אזורית עמק לוד,0.9,0.5,0.4,1,יהודים,99.9,28.4,64.7,6.9,29.5,63.4,7,27.2,66.1,6.7,624.5,29,29,29,61.4,38.6,59.9,40.1,62.9,37.1,83.9,16.1,79.6,16.5,3.2,0.7,43.8,8.9,43.7,3.4,0.2,501
זכריה,799,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,0.9,0.4,0.5,1,יהודים,99.3,32.7,55.3,12,30.7,58.6,10.6,34.4,52.4,13.2,917,33,35,31,64,36,67.2,32.8,61.1,38.9,81.6,18.4,87.1,9.6,2.1,1.2,45.4,43,7.6,2.9,1.2,501
זרחיה,818,1950,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,34,מועצה אזורית שפיר,0.6,0.3,0.3,1,יהודים,100,39.4,51.8,8.9,41.8,49.7,8.6,36.7,54.1,9.2,1003.2,26,23,27,69.1,30.9,66.5,33.5,71.8,28.2,84.6,15.4,83.7,15.3,1.1,,47.6,38.3,12.1,2,,501
חבצלת השרון,235,1935,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.6,0.3,0.2,1,יהודים,96.2,40.9,54.8,4.3,49.1,46.6,4.3,30.5,65.1,4.4,892.2,26,18,31,54.3,45.7,53.4,46.6,55.2,44.8,90.4,9.6,46.7,28.8,19,5.5,53.4,5.2,17.6,21.5,2.4,501
חגור,717,1949,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,20,מועצה אזורית דרום השרון,0.9,0.5,0.5,1,יהודים,99.1,30.2,63,6.8,30.7,62,7.4,29.8,64,6.2,639,32,32,32,59,41,58.3,41.7,59.7,40.3,86.3,13.7,58.4,29.2,9.7,2.7,49,19.3,13.7,17.3,0.7,501
חגלה,205,1933,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.7,0.3,0.4,1,יהודים,99.2,41.1,51.9,7.1,39.4,52.9,7.7,42.5,51,6.5,988.7,28,31,27,66.4,33.6,66.4,33.6,66.3,33.7,91.8,8.2,42.3,44.2,11.6,2,64.2,5.5,4.8,20.9,4.6,501
חד-נס,4026,1989,2,מחוז הצפון,29,נפת גולן,293,גולן תיכוני,,ללא שיוך למטרופולין,370,יישוב קהילתי,71,מועצה אזורית גולן,0.5,0.3,0.3,1,יהודים,97.1,36.2,63,0.8,36,63.2,0.8,36.4,62.8,0.8,671.8,27,29,27,58.9,41.1,59.4,40.6,58.4,41.6,90.1,9.9,29.4,41.1,29.4,,53.8,8.6,19.3,16,2.3,501
חדיד,618,1950,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,25,מועצה אזורית חבל מודיעין,0.6,0.3,0.3,1,יהודים,100,30,61.3,8.6,30.7,62.4,6.9,29.4,60.3,10.3,714.2,31,32,31,59.2,40.8,61.7,38.3,56.9,43.1,85.8,14.2,95,3.7,,1.3,44.4,45.8,4.9,4.8,0.2,501
חוסן,662,1949,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,0.8,0.4,0.4,1,יהודים,99.1,32.7,61.8,5.4,34.2,61.5,4.3,31.1,62.1,6.7,694.4,30,28,31,64.9,35.1,63.5,36.5,66.4,33.6,81.7,18.3,49.9,32.3,15,2.8,40.3,7.2,37.2,13.4,1.9,501
חוסנייה,1332,,2,מחוז הצפון,24,נפת עכו,242,אזור כרמיאל,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",450,יישוב כפרי אחר לא יהודי,56,מועצה אזורית משגב,0.5,0.3,0.3,2,מוסלמים,99.8,43.5,53.9,2.5,42.7,54.7,2.6,44.3,53.3,2.5,1006.8,21,21,21,56.5,43.5,58.6,41.4,54.5,45.5,,,,,,,,,,,,501
חופית,115,1955,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",350,יישוב כפרי אחר יהודי,16,מועצה אזורית עמק חפר,0.7,0.4,0.4,1,יהודים,99,25,54.2,20.8,26.2,54.2,19.6,23.8,54.2,22,933.8,40,38,42,61.4,38.6,61.4,38.6,61.4,38.6,85.1,14.9,46.1,36.6,9.3,8.1,44.4,6.6,6.6,36.4,6,501
חיבת ציון,219,1933,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.5,0.3,0.3,1,יהודים,100,33.5,56.1,10.4,29.7,61,9.4,37.3,51.2,11.5,848.4,31,30,33,56.3,43.7,53.1,46.9,59.9,40.1,88.8,11.2,68.6,22.6,7.5,1.2,57.1,3.9,5.7,29.1,4.1,501
חיננית,3643,1981,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,0.8,0.4,0.4,1,יהודים,87.6,49.3,50.2,0.5,50.3,49.2,0.5,48.3,51.2,0.5,1104.3,18,17,19,72.8,27.2,71,29,74.7,25.3,79.3,20.7,4.2,48.3,31.6,16,46.6,3.1,5.3,36.4,8.6,501
חירות,162,1930,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,18,מועצה אזורית לב השרון,1.2,0.6,0.6,1,יהודים,99,38.2,54,7.8,39.8,52.5,7.7,36.7,55.4,7.9,923.6,33,33,34,71.8,28.2,74,26,69.7,30.3,92.1,7.9,36.4,36.8,19.7,7.1,60.8,3.9,4.8,26.5,4,501
חלמיש,3573,1977,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,73,מועצה אזורית מטה בנימין,1,0.6,0.5,1,יהודים,99.9,35.3,61.8,2.9,34.7,62.3,3,35.9,61.3,2.8,800.5,24,24,25,69.2,30.8,63.7,36.3,75.7,24.3,81,19,17.3,33.4,31,18.3,44.8,11,6.4,24.2,13.6,501
חמאם,993,,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,65,מועצה אזורית אל-בטוף,1.2,0.6,0.6,2,מוסלמים,98.9,43.8,52.7,3.4,45.2,52,2.8,42.5,53.4,4.1,1057.1,21,20,22,55.3,44.7,55.9,44.1,54.7,45.3,,,,,,,,,,,,501
חמד,801,1950,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",310,מושב,40,מועצה אזורית עמק לוד,0.9,0.6,0.3,1,יהודים,99.3,31.8,62.1,6.2,29.6,67.2,3.1,35.4,53.2,11.4,964.8,21,20,28,42.9,57.1,32.3,67.7,65,35,88.8,11.2,58.4,21.6,17.6,2.3,59.1,5.1,5.8,23.1,6.8,501
חניאל,807,1950,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.9,0.5,0.4,1,יהודים,99.5,28.7,65.9,5.5,28.8,66.6,4.6,28.5,65.1,6.4,653.2,32,30,35,54.4,45.6,52.8,47.2,55.9,44.1,84.5,15.5,41.3,43.2,14.2,1.4,50.5,5.4,5.8,32.9,5.4,501
חספין,4005,1973,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,370,יישוב קהילתי,71,מועצה אזורית גולן,1.3,0.9,0.4,1,יהודים,100,55.8,43.2,1,59.4,39.9,0.8,48.1,50.4,1.4,1745.3,17,17,19,40.6,59.4,28.1,71.9,74,26,88.8,11.2,7.1,21.3,37.8,33.8,63.3,2.9,7.8,15.4,10.5,501
חצב,700,1949,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,1.2,0.6,0.6,1,יהודים,99.6,32.4,60.1,7.5,32.3,60.2,7.5,32.4,60.1,7.5,750.7,29,29,30,60.9,39.1,58.7,41.3,63.3,36.7,87.8,12.2,83.1,10.8,2.8,3.3,50.3,7.1,37.7,3.5,1.5,501
חצרים,397,1946,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",330,קיבוץ,41,מועצה אזורית בני שמעון,0.8,0.4,0.4,1,יהודים,97.9,30.9,60,9.2,29.7,61.5,8.8,31.9,58.6,9.5,744.4,34,35,33,61.5,38.5,65.9,34.1,57.5,42.5,72,28,11,58.5,24.2,6.3,36.7,3.7,4,20.2,35.5,501
חרב לאת,422,1947,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.8,0.5,0.3,1,יהודים,89.2,38.2,57.2,4.6,41.4,54.4,4.1,32,62.6,5.5,1265.8,19,18,33,38.9,61.1,28.9,71.1,60.7,39.3,66.2,33.8,18.7,12.9,9.7,58.8,38.4,5.3,30.3,24.2,1.8,501
חרוצים,1024,1951,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",350,יישוב כפרי אחר יהודי,19,מועצה אזורית חוף השרון,0.8,0.4,0.4,1,יהודים,99.5,31.4,63.1,5.4,32.7,63.1,4.2,30.2,63.1,6.7,654.7,32,31,32,52.1,47.9,51.4,48.6,52.7,47.3,84.4,15.6,55.2,24,10.7,10.1,44.5,19.7,16.5,15.6,3.7,501
טייבה (בעמק),497,,2,מחוז הצפון,23,נפת יזרעאל,233,רמת כוכב,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,8,מועצה אזורית הגלבוע,1.5,0.8,0.8,2,מוסלמים,99.9,47.5,49.4,3.1,45.3,51.4,3.3,49.7,47.5,2.8,1214.4,19,20,18,55.7,44.3,54.2,45.8,57.1,42.9,,,,,,,,,,,,501
טירת יהודה,663,1949,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,25,מועצה אזורית חבל מודיעין,1,0.5,0.5,1,יהודים,99.9,42.2,51.7,6.1,41.9,52,6.1,42.6,51.4,6,1003.8,25,27,24,69.5,30.5,71.3,28.7,67.8,32.2,88.6,11.4,69.5,19.6,8.2,2.7,53.8,12.4,14.2,16.2,3.5,501
טירת צבי,268,1937,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,330,קיבוץ,7,מועצה אזורית עמק המעיינות,0.6,0.3,0.3,1,יהודים,99.9,33.8,54.8,11.4,35.5,53.4,11.1,32,56.3,11.7,909.9,27,26,28,61.5,38.5,62.9,37.1,60.3,39.7,83.5,16.5,49.9,33.4,4.8,11.9,52.2,2.3,3.8,28.8,12.9,501
טל שחר,462,1948,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,1,0.5,0.5,1,יהודים,98.8,34.7,59,6.3,36.7,57,6.3,32.5,61.1,6.4,777.1,31,31,32,67.7,32.3,66.1,33.9,69.4,30.6,88,12,58.7,24.8,10.6,6,51.4,15.7,10.5,19,3.4,501
טל-אל,1181,1980,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,56,מועצה אזורית משגב,0.9,0.4,0.4,1,יהודים,98.6,41.3,53.6,5.2,42.8,51.7,5.5,39.5,55.6,4.8,973,31,29,33,73.8,26.2,71.2,28.8,76.6,23.4,78.1,21.9,5.9,66.3,26.3,1.6,42.5,4.2,11,37.2,5.2,501
טמרה (יזרעאל),547,,2,מחוז הצפון,23,נפת יזרעאל,233,רמת כוכב,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,8,מועצה אזורית הגלבוע,1.3,0.7,0.7,2,מוסלמים,100,50.6,46.3,3.1,51.2,45.5,3.3,49.9,47.1,3,1356.5,17,17,18,58.3,41.7,60,40,56.7,43.3,,,,,,,,,,,,501
טנא,3743,1983,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,78,מועצה אזורית הר חברון,0.5,0.3,0.3,1,יהודים,97.4,39.5,58.8,1.6,41,56.8,2.2,38,60.9,1.1,843,23,23,23,60.4,39.6,62.9,37.1,58,42,82.8,17.2,22.7,46.5,16.9,13.9,49.6,6,18.7,19,6.7,501
יבול,1232,1981,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,38,מועצה אזורית אשכול,0.6,0.3,0.3,1,יהודים,99.4,51,49,,50.7,49.3,,51.4,48.6,,1088.1,16,16,16,71.8,28.2,70.2,29.8,73.5,26.5,94.6,5.4,21.2,55.2,23.6,,66.3,8.8,8.1,11.8,5,501
יגור,96,1922,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,223,"מטרופולין חיפה, טבעת פנימית, גזרה דרומית",330,קיבוץ,12,מועצה אזורית זבולון,1.4,0.7,0.7,1,יהודים,94.7,22.1,64.3,13.6,22,66.5,11.4,22.3,62,15.7,636.9,32,30,33,45.7,54.3,45.4,54.6,45.9,54.1,83.5,16.5,40.8,28,10.7,20.4,51.3,4.5,3.4,35.1,5.7,501
יגל,798,1950,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",310,מושב,40,מועצה אזורית עמק לוד,0.7,0.4,0.4,1,יהודים,99.3,36.2,57.7,6.1,34.7,58.9,6.5,37.7,56.6,5.7,823.9,27,29,26,65.6,34.4,66,34,65.2,34.8,88,12,86.9,7.4,3.5,2.2,46.1,18.1,32.2,3.4,0.3,501
